Column1,공급사,과세/면세,담기,매입가,상품명(기본),수정후,상품코드,재입고알림,제조사,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
930,패커스,과세,2,58300,"240파이 탕용기 특대 5,000ml 100개 1set(1박스)",240파이 탕용기 특대,381,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기 찜용기,용기,77370,정상,8,,,,,,
931,패커스,과세,14,51700,"225파이 탕용기 대 3,000ml 200개 1set(2박스)",225파이 탕용기 대,380,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,70670,정상,17,,,,,,
932,패커스,과세,21,48400,"225파이 탕용기 중 2,400ml 200개 1set(2박스)",225파이 탕용기 중,379,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,65640,정상,38,,,,,,
933,패커스,과세,20,45100,"225파이 탕용기 소 1,800ml 200개 1set(2박스)",225파이 탕용기 소,378,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,59990,정상,37,,,,,,
948,패커스,과세,5,13200,92파이 아이스컵 뚜껑 돔형 구멍없음 PET 1000개 1박스,92파이 아이스컵 뚜껑 돔형,219,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,19910,정상,19,,,,,,
949,패커스,과세,12,13200,92파이 아이스컵 뚜껑 돔형 구멍있음 PET 1000개 1박스,92파이 아이스컵 뚜껑 돔형,217,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,19910,정상,43,,,,,,
950,패커스,과세,3,12100,92파이 아이스컵 뚜껑 평형 민자형 십자 구멍 PET 1000개 1박스,92파이 아이스컵 뚜껑 평형,215,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,16560,정상,17,,,,,,
951,패커스,과세,4,14300,98파이 아이스컵 뚜껑 돔형 구멍있음 PET 1000개 1박스,98파이 아이스컵 뚜껑 돔형,207,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,22200,정상,31,,,,,,
952,패커스,과세,2,13200,98파이 아이스컵 뚜껑 평형 민자형 십자 구멍 PET 1000개 1박스,98파이 아이스컵 뚜껑 평형 ,205,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,18810,정상,10,,,,,,
953,패커스,과세,1,55000,170파이 원형 샐러드 4칸 100ml x 4 투명 400개 1set(2박스),170파이 원형 샐러드 4칸,190,사용함,자체제작,샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,2,,,,,,
954,패커스,과세,27,55000,170파이 원형 샐러드 4칸 100ml x 4 검정 400개 1set(2박스),170파이 원형 샐러드 4칸,188,사용함,자체제작,샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,15,,,,,,
955,패커스,과세,0,55000,170파이 원형 샐러드 3칸 150ml x 3 투명 400개 1set(2박스),170파이 원형 샐러드 3칸,186,사용함,자체제작,샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,2,,,,,,
956,패커스,과세,10,55000,170파이 원형 샐러드 3칸 150ml x 3 검정 400개 1set(2박스),170파이 원형 샐러드 3칸,184,사용함,자체제작,샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,25,,,,,,
