Column1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
950,패커스,과세,3,12100,92파이 아이스컵 뚜껑 평형 민자형 십자 구멍 PET 1000개 1박스,215,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,16560,정상,17,0,0,0,0,0,1
951,패커스,과세,4,14300,98파이 아이스컵 뚜껑 돔형 구멍있음 PET 1000개 1박스,207,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,22200,정상,31,0,0,0,0,0,1
952,패커스,과세,2,13200,98파이 아이스컵 뚜껑 평형 민자형 십자 구멍 PET 1000개 1박스,205,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,18810,정상,10,0,0,0,0,0,1
953,패커스,과세,1,55000,170파이 원형 샐러드 4칸 100ml x 4 투명 400개 1set(2박스),190,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
039005001 : 중식 용기 > 샐러드/도시락용기 > 샐러드용기
061 : vol.4 Catalogue
061005 : vol.4 Catalogue > 카달로그_5",샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,2,1,1,1,0,1,0
954,패커스,과세,27,55000,170파이 원형 샐러드 4칸 100ml x 4 검정 400개 1set(2박스),188,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
039005001 : 중식 용기 > 샐러드/도시락용기 > 샐러드용기
061 : vol.4 Catalogue
061005 : vol.4 Catalogue > 카달로그_5",샐러드 샐러드용기 초밥 도시락용기 일식 중식 용기 직화용기 한식(분식),용기,75820,정상,15,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
