,주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
126,12230507@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
127,12233673@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
128,12253377@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
129,123077344@n,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
130,123465082@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
131,123814931@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
132,125302599@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
133,125309226@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
134,125361180@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
135,125650836@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
136,125880070@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
137,126004908@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
138,126051463@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
139,12641103@n,0.0,0.0,4.0,2.0,5.0,2.0,3.0,5.0,0.0,0.0
140,127229908@n,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,12729895@n,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,127538389@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
143,127550622@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
144,127687613@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
145,12951288@n,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
146,130152621@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
147,130865688@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
148,13116190@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
149,13180696@n,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
150,13195891@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,132165967@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
152,132351155@n,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,3.0
153,132532451@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
154,132656640@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155,13337509@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156,13382753@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
157,13405757@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
158,13435378@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,134513950@n,0.0,4.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0
160,135014997@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
161,135243092@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162,13532597@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
163,135337305@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
164,13575577@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
165,136149570@n,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
166,13643473@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,137197918@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
168,138435303@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
169,138511981@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0
170,138741549@n,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
171,140050498@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,141015665@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,141041106@n,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
174,1411590@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0
175,141523440@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,141658082@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
177,141870846@n,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
178,14240808@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,142432057@n,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,5.0,0.0
180,142524087@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
181,14256488@n,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0
182,14295788@n,0.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0
183,144151978@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
184,144459612@n,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,144837068@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
186,14508436@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187,145104924@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,145327106@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
189,14632589@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
190,14671857@n,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,5.0
191,146783527@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
192,14694906@n,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0
193,1472528@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
194,147853521@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
195,14807254@n,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
196,148852812@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197,149309674@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
198,149642034@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
199,150329090@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200,1506058@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
201,15071898@n,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
202,15179994@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
203,151998384@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
