,Unnamed: 0,주문자ID,상품구매금액,나이,성별,유입경로,유입기기,사업자구분,회원구분,가입-최종주문기간,AgeGroup,region,한식,중식,일식,양식,분식,카페
172,172,141015665@n,61900,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,0.0,0.0,1.0,0.0
173,173,141041106@n,55110,47,남자,블로그광고,PC,개인,일반,181,45-49,경기도,0.0,0.0,0.0,0.0,0.0,0.0
174,174,1411590@n,700230,40,여자,SNS광고,모바일,개인,일반,162,40-44,충청북도,0.0,0.0,0.0,0.0,0.0,0.0
175,175,141523440@n,53900,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도,1.0,1.0,1.0,0.0,1.0,0.0
176,176,141658082@n,527600,40,남자,유튜브광고,PC,개인,일반,91,40-44,서울특별시,4.0,1.0,1.0,0.0,2.0,0.0
177,177,141870846@n,126100,47,남자,SNS광고,모바일,개인,일반,16,45-49,경상남도,1.0,1.0,0.0,0.0,1.0,0.0
178,178,14240808@n,45910,47,남자,SNS광고,모바일,개인,일반,0,45-49,울산광역시,0.0,0.0,0.0,0.0,0.0,0.0
179,179,142432057@n,2141330,22,여자,카카오톡광고,모바일,개인,일반,374,20-24,서울특별시,24.0,2.0,3.0,2.0,23.0,0.0
180,180,142524087@n,115800,48,남자,블로그광고,모바일,개인,일반,0,45-49,서울특별시,1.0,1.0,1.0,1.0,1.0,0.0
181,181,14256488@n,2715030,40,남자,SNS광고,모바일,개인,일반,334,40-44,부산광역시,0.0,0.0,0.0,0.0,0.0,42.0
182,182,14295788@n,3864220,40,남자,인터넷기사광고,PC,개인,일반,515,40-44,서울특별시,18.0,13.0,13.0,9.0,18.0,0.0
183,183,144151978@n,121290,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,2.0,1.0,1.0,1.0,0.0
184,184,144459612@n,70120,44,남자,블로그광고,PC,개인,사업자,0,40-44,인천광역시,0.0,0.0,0.0,0.0,0.0,2.0
185,185,144837068@n,119750,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,2.0,1.0,0.0,0.0,2.0,0.0
186,186,14508436@n,68970,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도,1.0,1.0,0.0,0.0,1.0,0.0
187,187,145104924@n,55870,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인,1.0,1.0,1.0,1.0,1.0,0.0
188,188,145327106@n,81310,45,남자,기타,모바일,개인,일반,47,45-49,충청남도,0.0,1.0,0.0,0.0,0.0,0.0
189,189,14632589@n,81600,47,남자,SNS광고,모바일,개인,일반,0,45-49,광주광역시,1.0,1.0,0.0,0.0,1.0,0.0
190,190,14671857@n,2524570,39,여자,SNS광고,모바일,개인,일반,370,35-39,경상북도,27.0,28.0,3.0,3.0,27.0,0.0
191,191,146783527@n,252940,40,남자,SNS광고,모바일,개인,일반,115,40-44,경기도,3.0,2.0,3.0,2.0,3.0,0.0
192,192,14694906@n,8615255,24,여자,카카오톡광고,모바일,개인,일반,358,20-24,대전광역시,0.0,36.0,19.0,9.0,13.0,1.0
193,193,1472528@n,118140,45,남자,SNS광고,모바일,개인,일반,1,45-49,대전광역시,1.0,1.0,1.0,1.0,1.0,0.0
194,194,147853521@n,126500,48,남자,블로그광고,모바일,개인,일반,0,45-49,강원도,1.0,1.0,0.0,0.0,1.0,0.0
195,195,14807254@n,101400,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도,1.0,0.0,0.0,0.0,1.0,0.0
