주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
111681891@n,0.0,0.0,0.0,0.0,129000.0,123940.0,182350.0,230160.0,108110.0,0.0
11178928@n,0.0,0.0,0.0,43500.0,0.0,0.0,0.0,0.0,0.0,0.0
11185770@n,0.0,0.0,0.0,0.0,0.0,73850.0,0.0,0.0,0.0,0.0
111897872@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123800.0
11227273@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70620.0,0.0,0.0
112549561@n,0.0,0.0,0.0,0.0,0.0,0.0,283910.0,23320.0,41350.0,0.0
112937542@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133620.0,0.0
11321210@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315480.0,201810.0,122940.0
113969589@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030600.0
1141025@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126980.0,0.0
11470195@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471790.0,0.0,0.0
114809986@n,0.0,0.0,0.0,0.0,0.0,0.0,103500.0,0.0,0.0,0.0
115136874@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75570.0,0.0
115349556@n,0.0,53100.0,106360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115424915@n,0.0,0.0,0.0,0.0,0.0,143150.0,77370.0,147850.0,0.0,61900.0
11569157@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,0.0,0.0
115897476@n,0.0,0.0,0.0,0.0,0.0,0.0,822060.0,970150.0,777870.0,473690.0
115929032@n,0.0,0.0,0.0,0.0,0.0,0.0,144230.0,0.0,0.0,0.0
11599985@n,0.0,0.0,0.0,0.0,78760.0,0.0,0.0,0.0,0.0,0.0
116083227@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83550.0,0.0
116175245@n,0.0,0.0,0.0,0.0,0.0,199400.0,0.0,0.0,0.0,0.0
116235519@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62450.0,131310.0
11625578@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50160.0,0.0,0.0
11673332@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228360.0,0.0,0.0
1169534567@g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649240.0,0.0
11712326@n,0.0,0.0,0.0,0.0,0.0,0.0,347100.0,0.0,0.0,0.0
117226079@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48500.0
117254757@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240580.0,242220.0,172190.0
117421346@n,0.0,0.0,0.0,53900.0,0.0,0.0,0.0,0.0,0.0,0.0
119347465@n,0.0,0.0,0.0,0.0,0.0,230190.0,0.0,0.0,0.0,61900.0
12024137@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70670.0,59510.0,0.0
1207579@n,0.0,0.0,0.0,0.0,85800.0,110960.0,307190.0,502530.0,136830.0,85020.0
12102532@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103300.0
121506699@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39740.0
12192782@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76400.0,0.0,61900.0
12199150@n,0.0,0.0,79880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12228241@n,0.0,0.0,0.0,0.0,0.0,0.0,98860.0,0.0,0.0,0.0
12230507@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81350.0,0.0,0.0
12233673@n,0.0,0.0,0.0,0.0,0.0,0.0,96460.0,0.0,0.0,0.0
12253377@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98600.0
123077344@n,0.0,0.0,0.0,0.0,186500.0,189960.0,192920.0,0.0,0.0,0.0
123465082@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101420.0,0.0
123814931@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316710.0,0.0
125302599@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174240.0,0.0,0.0
125309226@n,0.0,0.0,0.0,0.0,0.0,0.0,552900.0,0.0,533060.0,146490.0
125361180@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596220.0,172110.0
125650836@n,0.0,0.0,0.0,0.0,0.0,80450.0,0.0,0.0,0.0,0.0
125880070@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9360.0,0.0
126004908@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78870.0,0.0,0.0
126051463@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105265.0,0.0,0.0
12641103@n,0.0,0.0,295000.0,93000.0,407700.0,104600.0,201060.0,619860.0,0.0,0.0
127229908@n,0.0,0.0,0.0,0.0,0.0,0.0,61970.0,0.0,0.0,0.0
12729895@n,0.0,32610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127538389@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74990.0
127550622@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78210.0,64910.0,0.0
127687613@n,0.0,0.0,0.0,0.0,0.0,127760.0,0.0,0.0,0.0,0.0
12951288@n,0.0,0.0,0.0,0.0,79420.0,0.0,0.0,0.0,0.0,0.0
130152621@n,0.0,0.0,0.0,0.0,0.0,0.0,185800.0,0.0,0.0,0.0
130865688@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124250.0,0.0,0.0
13116190@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99350.0,0.0
13180696@n,0.0,0.0,0.0,0.0,0.0,848755.0,0.0,0.0,0.0,0.0
13195891@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72270.0,0.0,0.0
132165967@n,0.0,0.0,0.0,0.0,0.0,171720.0,0.0,0.0,0.0,0.0
132351155@n,0.0,0.0,0.0,0.0,0.0,320930.0,513680.0,324730.0,147380.0,181050.0
132532451@n,0.0,0.0,0.0,0.0,0.0,73850.0,0.0,0.0,0.0,0.0
132656640@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48500.0,0.0
13337509@n,0.0,0.0,0.0,0.0,0.0,68200.0,0.0,0.0,0.0,0.0
13382753@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78870.0,0.0
13405757@n,0.0,0.0,0.0,0.0,0.0,139340.0,0.0,0.0,0.0,0.0
13435378@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58410.0,0.0,0.0
134513950@n,0.0,362500.0,149800.0,264650.0,279000.0,0.0,0.0,64600.0,0.0,0.0
