주문자ID,상품구매금액
aldydgkwk,108000
alias12,1388660
alsdldkqy,2057310
alslwus,236370
alsrb8456,988260
alsrud2327,1827580
alswl680,255950
amc8233,855670
amen0803,85440
ami3370,262900
amist,276870
amor2150,391620
amoreju,180280
an3050,119020
an514,732900
anafuda,2234940
andcl33,67220
andong,149490
andylee0125,140750
angel104sy,668450
angel3s1k,69400
angela,148510
anlsl3334,123500
anscjswls,171240
ansdj6891,66500
ansdmdah,312670
ansgus0545,37380
ansrnjsgh,33120
answjs7527,382390
antonio0118,208660
aoseekd,967100
apdlxm001,117970
ara3888,117240
aram312,52800
aria0815,594630
arinask0522,235800
arinask11,107900
armada4332,107800
armyang88,311970
arookee,627055
art3pes,431590
arteaus,255650
as12,12080490
asd0908,799920
asd6473,1067550
asd8146,118250
asd8622,449610
asd99001,85410
asdf2562,116820
asdfghjkl200300,362680
asjci777,188700
ask0507,59200
asm68k,153760
asr0377,608700
asus0007,78800
atom70k,171010
atom974,134540
atomloveme,265690
atta4747,103300
aunt2952,379180
aura,61700
auyang,109040
avan27,124030
avec1981,92380
avoce2012,92380
ayay6454,490320
ayhko728,185420
ays0207,103620
az0518,83790
b0711,297330
b0ng66074065,120120
b11030,305600
b2046916,608250
babo8938,2034610
babu2202,212050
babylesh91,3017350
babzzang3,21000
back0604,1783840
baekroya,75570
baik1030,669850
baikcom,186600
baikhw93,163000
baloo098,113300
bamnamugol,108500
bangasori,281860
bangha11,57850
bangjj1119,461710
baobao123,488530
barnana,57850
barobab2019,898810
bash1441,140620
batda,248500
bawwow2,93720
bb3812678,513740
bbnam70,91350
bboia00,558750
bbok25,166800
bbowl1,83440
bc9284,2259480
bcdef3410,1287360
bean0pole,528210
bear011,2279270
bear2009,169400
bebright,257860
bestluv,751290
betelk,278610
bfgf3000,438450
bhnek,641140
bibiu0501,183840
bigmacjang,100690
bigmate,1858300
bigsistersoondae,81270
bin2song,61470
biolopy,400400
bjm0127,416900
bjo1020,56100
bjo87,107800
bkh8421,190440
blackwolf1,22110
bluefrog,62960
bluenotecoffee,605620
blueroseman3,219860
bmg3621,1033295
bmw0718,98200
bobbyk,231670
bobe1027,188040
bobgori,3151355
bodykin,229720
boga1479,234590
bohu9315,96850
bokrn69,63950
boksunggak,443480
bollgo1,3267475
bomfood9292,355590
bomin2526,114440
bon0928,193140
bong1336,109360
bonmerci,316480
bonnie1031,53900
bonsushi,2044640
bontofood,2438500
boolti,237220
booolds,116000
boskim11000,231400
bowkh2,410210
boya,130680
bravegirl01,236610
bs0224224,656980
bs15484848,550670
bshdj514,227520
bshjkk,210100
bub2672,505500
bukk2,464530
bullchoi,299260
bun9335,287280
buny7,329040
busus80,103620
buzada,185460
bwv73,380740
byeongcheon854,2761420
byh1472,168720
byron16,199980
byulsina,27000
byuri2002,77370
c881022,115070
cafelulu,63330
calipso,674155
canbang,1861930
candyluv2,328890
caos66,973070
cascadehy,1601070
cazure02,47520
cbh8532,323870
ccckoc,154440
ccckoc63,57220
ccyj1208,252280
ce980326,144000
ce9909,116370
cej0614,71450
cej7001,73850
cent123,124340
cfsp01,2440250
cgh1385,66500
cgss1004,3487410
chad0287,1930100
changeon5947,1211690
changhee31,46670
changjo301,107210
changpo89,580800
changpo9814,1206230
charmsae2008,134240
chc6236,162940
chch0314,153770
chd209,73000
check22,117430
chefpark,457680
chefpark3482,111740
cheolsan,235800
cherry,1968280
chingu24,124540
chipsun,1323400
chj4455,425070
chltnsdud,67650
chlwjddnjs06,1989250
chlwotjr1019,53100
cho77d,132500
chohee85,143700
choho1003,96900
chohyesoo00,51500
choidh06,1051380
choihong5885,254440
choikwang7,614060
chole5588,3776900
choo2944,182160
chowind76,271810
chu6212,178400
chuheesuk,1486880
chuls0809,296430
chun2021,188040
chung4197,61900
chungwoomeat,494555
chwp1201,120800
chy6969,407800
cicicafe,164020
cidls83,78780
cij5990,750630
cja9480,364100
