,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
731,731,734,패커스,과세,11,6820,비닐봉투 맛난거들었쪙 중 백색 200개,1267,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,11010,정상,19
732,732,735,패커스,과세,15,8140,비닐봉투 맛난거들었쪙 대 백색 200개,1266,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,12750,정상,4
733,733,736,패커스,과세,8,5280,비닐봉투 맛난거들었쪙 특대 백색 100개,1265,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,9190,정상,8
734,734,737,패커스,과세,0,107800,고무장갑 중 100켤레 1박스,1249,사용함,자체제작,"046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,156000,정상,0
735,735,738,패커스,과세,1,4950,독일칼라행주 3P 10개,1248,사용함,자체제작,"046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,8740,정상,0
761,761,764,패커스,과세,34,24750,"175mm 수저 백색 1,500개 맛있숟갈",1205,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,31500,정상,32
762,762,765,패커스,과세,9,4620,비닐봉투 무지 소 백색 200개,1204,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,8270,정상,0
763,763,766,패커스,과세,5,5940,비닐봉투 무지 중 백색 200개,1203,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,9810,품절,6
764,764,767,패커스,과세,9,7260,비닐봉투 무지 대 백색 200개,1202,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,11560,정상,2
765,765,768,패커스,과세,4,4840,비닐봉투 무지 특대 백색 100개,1201,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,8440,정상,1
808,808,811,패커스,과세,4,23100,"170mm 수저 백색 1,500개 1박스",1072,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,31000,정상,11
