,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
306,306,307,패커스,과세,0,9580,M&F AGC발사믹크림 500ml 1개 (낱개 상품),1842,사용안함,M&F,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001011 : 식자재 > 한식 식자재 > 식초
050002 : 식자재 > 중식 식자재
050002009 : 식자재 > 중식 식자재 > 식초
050007 : 식자재 > 태국/베트남 식자재
050007004 : 식자재 > 태국/베트남 식자재 > 식초
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001011 : NEW > 식자재 > 한식 식자재 > 식초
026010002 : NEW > 식자재 > 중식 식자재
026010002009 : NEW > 식자재 > 중식 식자재 > 식초
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005004 : NEW > 식자재 > 태국/베트남 식자재 > 식초
050011 : 식자재 > 낱개판매",태국 식자재 식초 중식 베트남 한식,식자재,10500,정상,0
307,307,308,패커스,과세,0,37440,M&F 스퀴드 브랜드 피쉬액젓 700ml 12통 (박스 상품),1841,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,42000,정상,0
308,308,309,패커스,과세,0,27720,M&F 하이몬 쌀국수 장국 220g 12병 (박스 상품),1840,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007006 : 식자재 > 태국/베트남 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005006 : NEW > 식자재 > 태국/베트남 식자재 > 장류",베트남 식자재 장류 태국,식자재,30000,정상,0
309,309,310,패커스,과세,0,37440,M&F 하이몬 매운 쌀국수 칠리소스 230g 12병 (박스 상품),1839,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,41400,정상,0
310,310,311,패커스,과세,0,44280,M&F 하이몬 피넛 월남쌈 소스 230g 12병 (박스 상품),1838,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,52000,정상,0
311,311,312,패커스,과세,0,36960,M&F 하이몬 월남쌈 소스 295ml 12병 (박스 상품),1837,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,39000,정상,0
312,312,313,패커스,과세,0,51000,M&F 화끈하게 매운 쓰리라차 소스 295ml 12병 (박스 상품),1836,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
050007002 : 식자재 > 태국/베트남 식자재 > 소스류
026010005002 : NEW > 식자재 > 태국/베트남 식자재 > 소스류",베트남 식자재 소스류 태국,식자재,59200,정상,0
313,313,314,패커스,과세,0,88560,M&F 몬 람부탄&파인애플 565g 24캔 (박스 상품),1835,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류",캔류 태국 식자재 병류 베트남,식자재,100800,정상,0
314,314,315,패커스,과세,0,61200,M&F 몬 망고 슬라이스 565g 24캔 (박스 상품),1834,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류",캔류 태국 식자재 병류 베트남,식자재,70500,정상,0
315,315,316,패커스,과세,0,61680,M&F 몬 코코넛 밀크 400ml 24캔 (박스 상품),1833,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005008 : NEW > 식자재 > 태국/베트남 식자재 > 캔류/병류",캔류 태국 식자재 병류 베트남,식자재,68700,정상,0
